order_id,customer_state,order_item_count,product_count,seller_count,total_order_value,freight_value,late_probability,risk_score,risk_band,impact_score,priority_score,intervention_tier,recommended_action,is_late,candidate_id
012f2c4ca09b101a73e18957c3294cd6,SP,1.0,1.0,1.0,1901.62,81.62,0.4946660801691329,49.46660801691329,Medium,1901.62,94066.69113712265,High Priority,Prioritize fulfillment monitoring,0,457
01a0013ddc7cd129e350e8671b56a263,GO,3.0,1.0,1.0,1810.5,73.5,0.5021203374208287,50.21203374208287,High,1810.5,90908.88709004104,High Priority,Prioritize fulfillment monitoring,0,615
02014f2495eef0e869616829d481d743,MG,1.0,1.0,1.0,1342.63,102.63,0.4982827419874381,49.82827419874381,Medium,1342.63,66900.93578745941,High Priority,Prioritize fulfillment monitoring,0,760
02058d1c3b825765a4ec45968b8a1c97,MG,1.0,1.0,1.0,1826.34,27.34,0.4970507330952866,49.705073309528665,Medium,1826.34,90778.36358812457,High Priority,Prioritize fulfillment monitoring,0,767
028558cddca332b40b4ac4cb77407edf,TO,1.0,1.0,1.0,2784.16,134.17,0.5138157459563563,51.38157459563563,High,2784.16,143054.52472618487,High Priority,Prioritize fulfillment monitoring,0,955
029c545413b10a6bd7540401f6eef0a3,DF,1.0,1.0,1.0,1644.76,294.76,0.4984101498593932,49.84101498593933,Medium,1644.76,81976.50780827357,High Priority,Prioritize fulfillment monitoring,0,992
033cec9a46b0dd28fc10c800f9f3d878,RJ,1.0,1.0,1.0,1226.84,26.94,0.5206262058748118,52.06262058748118,High,1226.84,63872.50544154541,High Priority,Prioritize fulfillment monitoring,0,1235
03b31f549c27d03bed25fc42ddb46138,MG,1.0,1.0,1.0,2045.47,46.47,0.4948192319560828,49.48192319560828,Medium,2045.47,101213.78943892087,High Priority,Prioritize fulfillment monitoring,0,1419
03caa2c082116e1d31e67e9ae3700499,RJ,8.0,1.0,1.0,13664.08,224.08,0.5162426367174662,51.62426367174662,High,13664.08,705398.0687518396,High Priority,Prioritize fulfillment monitoring,0,1455
059fd94aa8716f14743caff2f433be05,SE,1.0,1.0,1.0,1368.87,53.88,0.5204040249248612,52.04040249248612,High,1368.87,71236.54575988947,High Priority,Prioritize fulfillment monitoring,0,2194
05c32785b5245ab31eb5bc6b0d41f698,MG,1.0,1.0,1.0,2115.05,125.05,0.4987047118506522,49.87047118506523,Medium,2115.05,105478.54007997221,High Priority,Prioritize fulfillment monitoring,0,2247
062bddc5be851fec2b59598cc33498cd,RJ,1.0,1.0,1.0,1549.41,28.53,0.5212617262080044,52.12617262080044,High,1549.41,80764.8131203944,High Priority,Prioritize fulfillment monitoring,0,2395
06375e8bcbe64fb1da3b499fa42a7991,PR,1.0,1.0,1.0,1981.22,82.17,0.494663675139853,49.4663675139853,Medium,1981.22,98003.75664605795,High Priority,Prioritize fulfillment monitoring,0,2411
0651c427722f910d3a2238dca1975fcc,MG,1.0,1.0,1.0,1400.03,24.38,0.498725371398337,49.8725371398337,Medium,1400.03,69823.04817188138,High Priority,Prioritize fulfillment monitoring,0,2453
076d1555fb53a89b0ef4d529e527a0f6,PR,1.0,1.0,1.0,2713.36,375.28,0.4930067595602855,49.30067595602856,Medium,2713.36,133770.48211204968,High Priority,Prioritize fulfillment monitoring,0,2893
078f6a01964ee122ef20881df839af31,PR,1.0,1.0,1.0,2419.2,69.2,0.4957914544474134,49.57914544474134,Medium,2419.2,119941.86865991825,High Priority,Prioritize fulfillment monitoring,0,2946
0812eb902a67711a1cb742b3cdaa65ae,MS,1.0,1.0,1.0,6929.31,194.31,0.5142296582296579,51.42296582296579,High,6929.31,356325.67130673514,High Priority,Prioritize fulfillment monitoring,0,3130
0818699476819463109688475b808343,SP,3.0,1.0,1.0,2607.09,60.09,0.4913597312783216,49.135973127832166,Medium,2607.09,128101.90418183997,High Priority,Prioritize fulfillment monitoring,0,3138
086f8f18f98299e22931d762c63db2b8,RS,1.0,1.0,1.0,2150.22,121.22,0.5053890595577741,50.538905955777416,High,2150.22,108669.7663642317,High Priority,Prioritize fulfillment monitoring,0,3265
087692f9f84c65ed1560e4a3b97d5c21,RJ,1.0,1.0,1.0,1697.45,25.45,0.5222930835851332,52.22930835851332,High,1697.45,88656.63947315844,High Priority,Prioritize fulfillment monitoring,0,3279
08b986f813ffdc9e5872992aaabf796f,PE,1.0,1.0,1.0,1944.86,45.74,0.5125041853607364,51.25041853607364,High,1944.86,99674.88899406817,High Priority,Prioritize fulfillment monitoring,0,3385
0905da36ee109b78ec1a3c9e089148a0,RO,1.0,1.0,1.0,2114.63,115.63,0.4943710471059584,49.43710471059584,Medium,2114.63,104541.18473416728,High Priority,Prioritize fulfillment monitoring,0,3529
095f058cc1daeb1e7ba1c133473090a3,RJ,2.0,2.0,2.0,1506.05,47.06,0.4748104012920357,47.48104012920357,Medium,1506.05,71508.82048658704,High Priority,Prioritize fulfillment monitoring,0,3657
0af28d87520565eb3b57c9b2abe1a2cc,PR,1.0,1.0,1.0,3126.5,126.51,0.4960211717161072,49.60211717161073,Medium,3126.5,155081.01933704095,High Priority,Prioritize fulfillment monitoring,0,4259
0affd51e37e6621004e4fe4fd7c64f4b,ES,1.0,1.0,1.0,1353.28,27.38,0.5155303958673607,51.55303958673607,High,1353.28,69765.69741193819,High Priority,Prioritize fulfillment monitoring,0,4274
0b055b1ac16d0401f76e361ff96926eb,MT,1.0,1.0,1.0,2124.78,234.78,0.5005137725367327,50.05137725367327,High,2124.78,106348.1653610599,High Priority,Prioritize fulfillment monitoring,0,4281
0b93ff37e8344c6013bad16484c7fbe4,SC,1.0,1.0,1.0,1221.28,222.38,0.5107731412481364,51.07731412481365,High,1221.28,62379.70219435241,High Priority,Prioritize fulfillment monitoring,0,4495
0ccc4d2c7102c48188f50be5107fe442,RJ,1.0,1.0,1.0,1738.17,68.17,0.5253564301443157,52.53564301443157,High,1738.17,91315.87861839453,High Priority,Prioritize fulfillment monitoring,0,4983
0d91fd5b8475f8f0576a6e8f90c6497d,GO,3.0,1.0,1.0,2036.04,176.07,0.5024496632698621,50.24496632698621,High,2036.04,102300.761240397,High Priority,Prioritize fulfillment monitoring,0,5268
0eeae75286b79b40f203057933fbb70b,RN,2.0,2.0,1.0,1784.2,57.2,0.4917276522186076,49.172765221860764,Medium,1784.2,87734.04770884398,High Priority,Prioritize fulfillment monitoring,0,5799
0f924038b00d1f102e4d09bea4fa666a,BA,1.0,1.0,1.0,2759.95,70.95,0.5343426474860916,53.43426474860916,High,2759.95,147475.89899292385,High Priority,Prioritize fulfillment monitoring,0,6034
10247742e08ee32225ec4da5725ead48,RS,1.0,1.0,1.0,1817.54,129.54,0.5041582824467881,50.415828244678806,High,1817.54,91632.78446783351,High Priority,Prioritize fulfillment monitoring,0,6257
10aa3224bbb698312ca210f229f91b5e,RJ,1.0,1.0,1.0,1423.54,24.54,0.5212617262080044,52.12617262080044,High,1423.54,74203.69177261426,High Priority,Prioritize fulfillment monitoring,0,6479
10fe810a22f64e933bcaa6fe6fccda13,RJ,1.0,1.0,1.0,1474.42,74.43,0.5212617262080044,52.12617262080044,High,1474.42,76855.87143556059,High Priority,Prioritize fulfillment monitoring,0,6588
11dd4e8d5273dee8fbe9260bd8e0e5fe,RJ,1.0,1.0,1.0,1184.55,25.55,0.5198147294891203,51.98147294891204,High,1184.55,61574.65378163376,High Priority,Prioritize fulfillment monitoring,0,6939
122f75d9c2b30dfb21ca6950ec587b90,SP,2.0,1.0,1.0,2638.64,118.64,0.4946886308671161,49.468863086711615,Medium,2638.64,130530.52089512073,High Priority,Prioritize fulfillment monitoring,0,7048
1446ae966d68c3abad1ca3a3ce58033e,PR,6.0,1.0,1.0,1404.24,348.84,0.4920756171914184,49.20756171914184,Medium,1404.24,69099.22646848774,High Priority,Prioritize fulfillment monitoring,0,7810
14861b02076ed7da9471988265a0104b,SP,1.0,1.0,1.0,2267.18,67.19,0.4976382899992644,49.76382899992644,Medium,2267.18,112823.55783205322,High Priority,Prioritize fulfillment monitoring,0,7903
155581701d726e5261052c3e6fa83dfe,PI,1.0,1.0,1.0,1168.71,69.71,0.5198375163730939,51.9837516373094,High,1168.71,60753.930376039876,High Priority,Prioritize fulfillment monitoring,0,8219
166848a10d57ced4d9e4b34c593b5627,SP,1.0,1.0,1.0,1787.72,87.73,0.4976961792267761,49.76961792267761,Medium,1787.72,88974.14135272922,High Priority,Prioritize fulfillment monitoring,0,8608
1759a74e11bef0a81720d730ffafdfaf,RJ,1.0,1.0,1.0,1416.7,116.7,0.5242735249729593,52.42735249729593,High,1416.7,74273.83028291914,High Priority,Prioritize fulfillment monitoring,0,8945
17784b9fbb37fb0bdc230d8ed6f6b355,BA,6.0,1.0,1.0,1342.98,502.98,0.5174252099384723,51.74252099384723,High,1342.98,69489.17084431695,High Priority,Prioritize fulfillment monitoring,0,8998
17a99f37c9e5cdf9e15df2b7d7e4df3a,SP,1.0,1.0,1.0,1755.21,67.21,0.4971123277840637,49.71123277840637,Medium,1755.21,87253.65288498664,High Priority,Prioritize fulfillment monitoring,0,9072
188f31b5ce7e58114dc03f7d6289f9a4,PB,2.0,1.0,1.0,1635.54,155.54,0.509760995695955,50.97609956959551,High,1635.54,83373.44989005625,High Priority,Prioritize fulfillment monitoring,0,9459
192e8093aeeb86d202c1035db3a5bd48,RJ,1.0,1.0,1.0,1570.79,120.79,0.5198147294891203,51.98147294891204,High,1570.79,81651.97789342154,High Priority,Prioritize fulfillment monitoring,0,9721
193d998b23a996345ca322516b2d5af3,MG,1.0,1.0,1.0,1978.18,79.18,0.4984373892858833,49.84373892858833,Medium,1978.18,98599.88747375486,High Priority,Prioritize fulfillment monitoring,0,9737
198cbd4bd806061597b3f8fbdf126ad6,CE,5.0,1.0,1.0,1756.1,106.1,0.515571118233492,51.5571118233492,High,1756.1,90539.44407298353,High Priority,Prioritize fulfillment monitoring,0,9847
1995226c73acf6318abfc4b4c9c74066,RS,1.0,1.0,1.0,1476.07,27.07,0.5046794831983544,50.46794831983544,High,1476.07,74494.2244764595,High Priority,Prioritize fulfillment monitoring,0,9859
199af31afc78c699f0dbf71fb178d4d4,SP,1.0,1.0,1.0,4764.34,74.34,0.4976961792267761,49.76961792267761,Medium,4764.34,237119.38145372985,High Priority,Prioritize fulfillment monitoring,0,9868
19dec7b3d6fb0a5d9407f7274da21398,MG,1.0,1.0,1.0,1488.14,38.34,0.4974757201269982,49.74757201269983,Medium,1488.14,74031.35181497912,High Priority,Prioritize fulfillment monitoring,0,9962
19f05b5a76e0e3f1df1ebaeef9bd2f8d,SP,5.0,1.0,1.0,1951.95,56.95,0.4944010243709105,49.44010243709105,Medium,1951.95,96504.60795207988,High Priority,Prioritize fulfillment monitoring,0,9988
